column_index,column_name,direction,proposed_gate,proposed_threshold
1,heart_index,identity,no,
2,head_index,identity,no,
3,trial_index,identity,no,
4,pattern_index,identity,no,
5,raw_attempt,identity,no,
6,tail_a_a,recipe,no,
7,tail_a_b,recipe,no,
8,tail_a_c,recipe,no,
9,tail_a_d,recipe,no,
10,tail_a_e,recipe,no,
11,tail_a_f,recipe,no,
12,tail_a_g,recipe,no,
13,tail_a_h,recipe,no,
14,tail_a_i,recipe,no,
15,tail_a_j,recipe,no,
16,tail_a_k,recipe,no,
17,tail_b_a,recipe,no,
18,tail_b_b,recipe,no,
19,tail_b_c,recipe,no,
20,tail_b_d,recipe,no,
21,tail_b_e,recipe,no,
22,tail_b_f,recipe,no,
23,tail_b_g,recipe,no,
24,tail_b_h,recipe,no,
25,tail_b_i,recipe,no,
26,tail_b_j,recipe,no,
27,tail_b_k,recipe,no,
28,first_minimum_wanderer_influence,higher,yes,15
29,first_minimum_input_coverage,higher,yes,11
30,second_minimum_wanderer_influence,higher,yes,17
31,second_minimum_input_coverage,higher,yes,11
32,minimum_pair_union,higher,yes,15
33,minimum_heart_separation,higher,no,
34,total_heart_separation,higher,no,
35,minimum_pair_balance,higher,yes,0
36,minimum_complement,higher,yes,0
37,dominated_pair_count,lower,yes,11
38,flow_area,higher,yes,6280
39,arrival_total,lower,yes,3894
40,maximum_arrival_skew,lower,yes,24
41,directed_diameter,lower,no,
42,mean_wanderer_shortest_path_x1000,lower,no,
43,worst_wanderer_mean_shortest_path_x1000,lower,no,
44,minimum_influenced_wanderers,higher,yes,10
45,minimum_wanderers_reached_within_four_edges,higher,yes,9
46,mean_four_edge_wanderer_reach_x1000,higher,no,
47,redundant_early_branch_fraction_x1000,higher,no,
48,pair_component_count,lower,yes,3
49,minimum_subset_expansion,higher,no,
50,total_subset_expansion,higher,no,
51,reserved_legacy_spectral_gap,higher,yes,0
52,minimum_one_round_wanderer_fanout,higher,yes,10
53,mean_one_round_wanderer_fanout_x1000,higher,yes,1000
54,minimum_source_orbiter_journey_area,higher,yes,29
55,minimum_dual_tail_wanderer_reach,higher,yes,5
56,mean_dual_tail_wanderer_reach_x1000,higher,yes,863
57,maximum_orbiter_shortest_path_load_x1000,lower,no,
58,maximum_ordered_source_orphan_area,lower,no,
59,mean_ordered_source_orphan_area_x1000,lower,no,
60,maximum_last_orphan_latency,lower,yes,11
61,maximum_orphan_straggler_gap,lower,yes,4
62,maximum_midpoint_source_orphans,lower,yes,9
63,maximum_midpoint_destination_orphan_load,lower,yes,9
64,maximum_midpoint_co_orphan_load,lower,no,
65,maximum_source_meeting_orphans,lower,yes,0
66,maximum_source_meeting_area,lower,yes,120
67,mean_source_pair_meeting_latency_x1000,lower,yes,9545
68,maximum_robust_orphans,lower,yes,9
69,mean_robust_orphans_x1000,lower,no,
70,maximum_ordered_destination_orphan_area,lower,yes,69
71,maximum_dual_tail_source_orphan_area,lower,no,
72,mean_dual_tail_source_orphan_area_x1000,lower,no,
73,maximum_robust_destination_orphans,lower,yes,9
74,maximum_single_orbiter_ordered_pair_damage,lower,no,
75,mean_single_orbiter_ordered_pair_damage_x1000,lower,no,
76,minimum_surviving_fanout_after_one_orbiter_removal,higher,yes,4
77,maximum_dual_tail_arrival_skew,lower,yes,11
